City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind
Uruaçu,94,BR,1610505674,89,-14.5247,-49.1408,71.91,0.74
Tingi,100,TZ,1610505674,93,-11.3,35.0333,63.68,3.83
Gladstone,62,AU,1610505674,54,-23.85,151.25,86.0,17.27
Nemuro,90,JP,1610505674,100,43.3236,145.575,32.0,4.61
Arraial do Cabo,62,BR,1610505674,86,-22.9661,-42.0278,75.85,23.02
Charters Towers,75,AU,1610505481,58,-20.1,146.2667,85.86,10.87
Tuy Hoa,97,VN,1610505675,79,13.0833,109.3,66.0,10.04
Saint-Philippe,75,RE,1610505675,89,-21.3585,55.7679,78.8,3.44
Menongue,100,AO,1610505675,94,-14.6585,17.691,63.75,3.62
Banda Aceh,100,ID,1610505675,73,5.5577,95.3222,81.95,10.65
Erenhot,100,CN,1610505675,87,43.6475,111.9767,2.53,3.2
Kaitangata,100,NZ,1610505675,77,-46.2817,169.8464,64.99,11.99
Hafizabad,0,PK,1610505675,49,32.0679,73.6854,46.33,2.66
Soyo,66,AO,1610505676,78,-6.1349,12.3689,77.77,8.68
Saint-Joseph,75,RE,1610505676,89,-21.3667,55.6167,78.8,3.44
Derzhavīnsk,43,KZ,1610505676,88,51.1,66.3167,-15.09,3.13
Sicamous,100,CA,1610505436,93,50.8331,-118.9856,39.99,2.3
Daoukro,0,CI,1610505676,95,7.0591,-3.9631,71.56,2.04
Meulaboh,47,ID,1610505676,67,4.1363,96.1285,83.08,1.66
Pringsewu,100,ID,1610505676,85,-5.3582,104.9744,77.0,3.74
Olafsvik,100,IS,1610505676,81,64.8945,-23.7142,37.58,24.56
Yarensk,59,RU,1610505677,86,62.1675,49.0916,-16.04,3.76
Beyneu,84,KZ,1610505677,94,45.3167,55.2,23.63,13.78
Camopi,99,GF,1610505677,98,3.1655,-52.3158,71.33,1.79
Simpang,100,ID,1610505677,97,-1.2667,104.0833,74.44,3.0
Sioux Lookout,20,CA,1610505593,93,50.1001,-91.917,21.2,6.91
Assiniboia,100,CA,1610505677,80,49.6334,-105.9845,30.2,4.61
Måløy,75,NO,1610505677,64,61.9353,5.1136,34.0,17.27
Aksu,1,CN,1610505677,74,41.1231,80.2644,15.17,1.72
Novopavlovka,68,RU,1610505677,85,51.2172,109.2091,-10.25,2.64
Saint Anthony,1,US,1610505678,86,45.0205,-93.218,33.8,3.44
Zaysan,100,KZ,1610505612,95,47.4667,84.8667,19.99,3.8
Cabo Rojo,8,PR,1610505678,87,18.0866,-67.1457,75.0,1.01
Urubichá,84,BO,1610505678,91,-15.3833,-62.95,74.68,0.34
Green Valley,0,US,1610505385,28,31.8543,-110.9937,50.0,3.65
Tikrit,0,IQ,1610505678,48,34.6071,43.6782,51.06,1.1
Amapá,50,BR,1610505678,98,1.0,-52.0,71.74,2.3
Leningradskiy,100,RU,1610505678,87,69.3833,178.4167,-17.28,16.91
Yumen,31,CN,1610505679,58,40.2833,97.2,28.96,18.99
Koulamoutou,100,GA,1610505679,93,-1.1303,12.4736,72.45,1.34
Faya,0,SA,1610505679,70,18.3851,42.4509,44.6,2.82
Temozon,51,MX,1610505679,96,20.8,-88.2167,68.31,3.47
Binga,100,ZW,1610505679,89,-17.6203,27.3414,72.19,0.34
Oneonta,99,US,1610505679,85,42.4529,-75.0638,28.99,1.01
Mossamedes,100,AO,1610505679,76,-15.1961,12.1522,71.15,5.55
Mount Gambier,97,AU,1610505679,41,-37.8333,140.7667,77.0,11.5
Āsosa,0,ET,1610505679,41,10.0667,34.5333,60.4,5.19
Tasiilaq,90,GL,1610505679,86,65.6145,-37.6368,30.2,43.73
Mahon,0,ES,1610505680,81,39.8885,4.2658,44.6,8.05
Laguna,90,US,1610505680,67,38.421,-121.4238,55.99,0.87
Waipawa,95,NZ,1610505680,57,-41.4122,175.5153,75.99,18.41
Esperance,90,AU,1610505680,59,-33.8667,121.9,66.2,19.57
Örnsköldsvik,90,SE,1610505680,100,63.2909,18.7153,23.0,11.5
Portland,90,US,1610505048,82,45.5234,-122.6762,59.0,16.11
Moose Factory,90,CA,1610505680,93,51.2585,-80.6094,24.8,8.05
Talnakh,100,RU,1610505680,89,69.4865,88.3972,-7.44,5.48
Bawku,0,GH,1610505680,19,11.0616,-0.2417,71.62,8.77
Dali,93,CN,1610505681,69,25.7,100.1833,44.83,1.12
Shīeli,93,KZ,1610505681,98,44.1667,66.75,23.52,1.95
Eureka,100,US,1610505681,91,40.8021,-124.1637,59.0,5.99
Ranfurly,77,NZ,1610505681,76,-45.1333,170.1,66.99,4.38
Behshahr,0,IR,1610505681,64,36.6923,53.5526,45.99,3.04
Lompoc,75,US,1610505675,87,34.6391,-120.4579,51.8,4.61
Sirpur,6,IN,1610505681,43,19.4833,79.6,68.99,4.59
Novyi Yarychiv,75,UA,1610505681,93,49.9044,24.3052,26.6,4.47
São Miguel do Araguaia,98,BR,1610505561,76,-13.275,-50.1628,75.6,2.39
Pangkalanbuun,100,ID,1610505473,78,-2.6833,111.6167,83.21,4.03
Calvinia,0,ZA,1610505682,61,-31.4707,19.776,70.77,4.43
Tangwani,95,PK,1610505682,81,28.2787,68.9972,41.0,5.79
Vao,86,NC,1610505682,85,-22.6667,167.4833,78.26,21.47
Marystown,100,CA,1610505682,94,47.1666,-55.1483,30.92,3.78
Chukhloma,75,RU,1610505682,89,58.7525,42.6825,-17.99,4.59
Manggar,100,ID,1610505682,91,-2.8833,108.2667,77.22,10.27
Homer,75,US,1610505682,70,59.6425,-151.5483,37.4,5.75
Nyuksenitsa,43,RU,1610505683,88,60.4128,44.2397,-16.76,3.8
Nishihara,40,JP,1610505683,51,26.1842,127.7558,60.8,9.22
